Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2020
01294;Peyrieu;897
01295;Peyzieux-sur-Saône;676
01296;Pirajoux;413
01297;Pizay;890
01298;Plagne;157
01299;Le Plantay;589
01301;Polliat;2606
01302;Pollieu;165
01303;Poncin;1696
01304;Pont-d'Ain;2904
01305;Pont-de-Vaux;2195
01306;Pont-de-Veyle;1637
01307;Port;840
01308;Pougny;803
01309;Pouillat;83
01310;Prémeyzel;249
01311;Prémillieu;44
01313;Prévessin-Moëns;8948
01314;Priay;1725
01317;Ramasse;331
01318;Rancé;735
01319;Relevant;467
01320;Replonges;3833
01321;Revonnas;892
01322;Reyrieux;5050
01323;Reyssouze;1018
01325;Rignieux-le-Franc;1065
01328;Romans;606
01329;Rossillon;157
01330;Ruffieu;180
01331;Saint-Alban;192
01332;Saint-André-de-Bâgé;792
01333;Saint-André-de-Corcy;3366
01334;Saint-André-d'Huiriat;680
01335;Saint-André-le-Bouchoux;410
01336;Saint-André-sur-Vieux-Jonc;1187
01337;Saint-Bénigne;1336
01338;Groslée-Saint-Benoit;1245
01339;Saint-Bernard;1484
01342;Sainte-Croix;546
01343;Saint-Cyr-sur-Menthon;1822
01344;Saint-Denis-lès-Bourg;5971
01345;Saint-Denis-en-Bugey;2245
01346;Saint-Didier-d'Aussiat;852
01347;Saint-Didier-de-Formans;2072
01348;Saint-Didier-sur-Chalaronne;3003
01349;Saint-Éloi;523
01350;Saint-Étienne-du-Bois;2538
01351;Saint-Étienne-sur-Chalaronne;1602
01352;Saint-Étienne-sur-Reyssouze;586
01353;Sainte-Euphémie;1723
01354;Saint-Genis-Pouilly;14274
01355;Saint-Genis-sur-Menthon;484
01356;Saint-Georges-sur-Renon;203
01357;Saint-Germain-de-Joux;502
01358;Saint-Germain-les-Paroisses;426
01359;Saint-Germain-sur-Renon;251
01360;Saint-Jean-de-Gonville;1934
01361;Saint-Jean-de-Niost;1600
01362;Saint-Jean-de-Thurigneux;809
01363;Saint-Jean-le-Vieux;1786
01364;Saint-Jean-sur-Reyssouze;767
01365;Saint-Jean-sur-Veyle;1165
01366;Sainte-Julie;1088
01367;Saint-Julien-sur-Reyssouze;726
01368;Saint-Julien-sur-Veyle;842
01369;Saint-Just;955
01370;Saint-Laurent-sur-Saône;1674
01371;Saint-Marcel;1221
01372;Saint-Martin-de-Bavel;441
01373;Saint-Martin-du-Frêne;1009
01374;Saint-Martin-du-Mont;1877
01375;Saint-Martin-le-Châtel;788
01376;Saint-Maurice-de-Beynost;4066
01378;Saint-Maurice-de-Gourdans;2699
01379;Saint-Maurice-de-Rémens;762
01380;Saint-Nizier-le-Bouchoux;612
01381;Saint-Nizier-le-Désert;920
01382;Sainte-Olive;305
01383;Saint-Paul-de-Varax;1583
01384;Saint-Rambert-en-Bugey;2172
01385;Saint-Rémy;964
01386;Saint-Sorlin-en-Bugey;1117
01387;Saint-Sulpice;256
01388;Saint-Trivier-de-Courtes;1116
01389;Saint-Trivier-sur-Moignans;1823
01390;Saint-Vulbas;1247
01391;Salavre;273
01392;Samognat;654
01393;Sandrans;555
01396;Sault-Brénaz;987
01397;Sauverny;988
01398;Savigneux;1438
01399;Ségny;2145
01400;Seillonnaz;139
01401;Sergy;2209
01402;Sermoyer;650
01403;Serrières-de-Briord;1310
01404;Serrières-sur-Ain;134
01405;Servas;1273
01406;Servignat;173
01407;Seyssel;1006
01408;Simandre-sur-Suran;659
01410;Sonthonnax-la-Montagne;299
01411;Souclin;271
01412;Sulignat;611
01415;Talissieu;524
01416;Tenay;1012
01418;Thil;1103
01419;Thoiry;6119
01420;Thoissey;1664
01421;Torcieu;734
01422;Tossiat;1354
01423;Toussieux;1169
01424;Tramoyes;1823
01425;La Tranclière;284
01426;Val-Revermont;2506
01427;Trévoux;6945
01428;Valeins;128
01429;Vandeins;714
01430;Varambon;636
01431;Vaux-en-Bugey;1224
01432;Verjon;333
01433;Vernoux;306
01434;Versailleux;488
01435;Versonnex;2146
01436;Vesancy;492
01437;Vescours;221
01439;Vésines;99
01441;Vieu-d'Izenave;743
01443;Villars-les-Dombes;4946
01444;Villebois;1195
01445;Villemotier;628
01446;Villeneuve;1562
01447;Villereversure;1345
01448;Villes;394
01449;Villette-sur-Ain;760
01450;Villieu-Loyes-Mollon;3755
01451;Viriat;6665
01452;Virieu-le-Grand;1127
01453;Arvière-en-Valromey;712
01454;Virignin;1118
01456;Vongnes;71
01457;Vonnas;3198
02001;Abbécourt;505
02002;Achery;602
02003;Acy;1019
02004;Agnicourt-et-Séchelles;185
02005;Aguilcourt;382
02006;Aisonville-et-Bernoville;260
02007;Aizelles;120
02008;Aizy-Jouy;299
02009;Alaincourt;531
02010;Allemant;171
02011;Ambleny;1159
02012;Ambrief;73
02013;Amifontaine;390
02014;Amigny-Rouy;721
02015;Ancienville;74
02016;Andelain;215
02017;Anguilcourt-le-Sart;308
02018;Anizy-le-Grand;2587
02019;Annois;359
02020;Any-Martin-Rieux;455
02021;Archon;82
02022;Arcy-Sainte-Restitue;401
02023;Armentières-sur-Ourcq;101
02024;Arrancy;49
02025;Artemps;367
02027;Assis-sur-Serre;210
02028;Athies-sous-Laon;2597
02029;Attilly;351
02030;Aubencheul-aux-Bois;254
02031;Aubenton;659
02032;Aubigny-aux-Kaisnes;254
02033;Aubigny-en-Laonnois;102
02034;Audignicourt;122
02035;Audigny;283
02036;Augy;70
02037;Aulnois-sous-Laon;1380
02038;Les Autels;60
02039;Autremencourt;174
02040;Autreppes;176
02041;Autreville;815
02042;Azy-sur-Marne;379
02043;Bagneux;64
02044;Bancigny;24
02046;Barenton-Bugny;557
02047;Barenton-Cel;108
02048;Barenton-sur-Serre;131
02049;Barisis-aux-Bois;740
02050;Barzy-en-Thiérache;320
02051;Barzy-sur-Marne;391
02052;Bassoles-Aulers;132
02053;Vallées en Champagne;573
02054;Bazoches-et-Saint-Thibaut;532
02055;Beaumé;87
02056;Beaumont-en-Beine;180
02057;Beaurevoir;1411
02058;Beaurieux;851
02059;Beautor;2718
02060;Beauvois-en-Vermandois;255
02061;Becquigny;245
02062;Belleau;136
02063;Bellenglise;379
02064;Belleu;3762
02065;Bellicourt;587
02066;Benay;193
02067;Bergues-sur-Sambre;209
02068;Berlancourt;85
02069;Berlise;105
02070;Bernot;441
02071;Berny-Rivière;650
02072;Berrieux;183
02073;Berry-au-Bac;687
02074;Bertaucourt-Epourdon;592
02075;Berthenicourt;194
02076;Bertricourt;153
02077;Berzy-le-Sec;380
02078;Besmé;164
02079;Besmont;147
02080;Besny-et-Loizy;327
02081;Béthancourt-en-Vaux;432
02082;Beugneux;110
02083;Beuvardes;751
02084;Bézu-le-Guéry;255
02085;Bézu-Saint-Germain;1003
02086;Bichancourt;999
02087;Bieuxy;34
02088;Bièvres;88
02089;Billy-sur-Aisne;1146
02090;Billy-sur-Ourcq;203
02091;Blanzy-lès-Fismes;94
02093;Blérancourt;1306
02094;Blesmes;469
02095;Bohain-en-Vermandois;5703
02096;Bois-lès-Pargny;194
02097;Boncourt;261
02098;Bonneil;378
02099;Bonnesvalyn;216
02100;Bony;138
02101;Bosmont-sur-Serre;186
02102;Bouconville-Vauclair;188
02103;Boué;1331
02104;Bouffignereux;98
02105;Bouresches;193
02106;Bourg-et-Comin;810
02107;Bourguignon-sous-Coucy;105
02108;Bourguignon-sous-Montbavin;158
02109;La Bouteille;473
02110;Braine;2232
02111;Brancourt-en-Laonnois;726
02112;Brancourt-le-Grand;554
02114;Brasles;1558
02115;Braye-en-Laonnois;186
02116;Braye-en-Thiérache;142
02117;Bray-Saint-Christophe;67
02118;Braye;129
02119;Brécy;321
02120;Brenelle;196
02121;Breny;237
02122;Brie;55
02123;Brissay-Choigny;299
02124;Brissy-Hamégicourt;651
02125;Brumetz;183
02126;Brunehamel;448
02127;Bruyères-sur-Fère;191
02128;Bruyères-et-Montbérault;1447
02129;Bruys;19
02130;Bucilly;198
02131;Bucy-le-Long;1883
02132;Bucy-lès-Cerny;192
02133;Bucy-lès-Pierrepont;403
02134;Buire;854
02135;Buironfosse;1148
02136;Burelles;128
02137;Bussiares;151
02138;Buzancy;200
02139;Caillouël-Crépigny;447
02140;Camelin;457
02141;La Capelle;1772
02142;Castres;251
02143;Le Catelet;184
02144;Caulaincourt;140
02145;Caumont;545
02146;Celles-lès-Condé;96
02148;Celles-sur-Aisne;256
02149;Cerizy;60
02150;Cerny-en-Laonnois;62
02151;Cerny-lès-Bucy;116
02152;Cerseuil;87
02153;Cessières-Suzy;775
02154;Chacrise;365
02155;Chaillevois;177
02156;Chalandry;258
02157;Chambry;834
02158;Chamouille;271
02159;Champs;302
02160;Chaourse;527
02162;La Chapelle-sur-Chézy;298
02163;Charly-sur-Marne;2585
02164;Le Charmel;327
02165;Charmes;1655
02166;Chartèves;359
02167;Chassemy;888
02168;Château-Thierry;15306
02169;Châtillon-lès-Sons;84
02170;Châtillon-sur-Oise;124
02171;Chaudardes;90
02172;Chaudun;251
02173;Chauny;11438
02174;Chavignon;835
02175;Chavigny;164
02176;Chavonne;207
02177;Chérêt;141
02178;Chermizy-Ailles;110
02179;Chéry-Chartreuve;381
02180;Chéry-lès-Pouilly;726
02181;Chéry-lès-Rozoy;85
02182;Chevennes;113
02183;Chevregny;185
02184;Chevresis-Monceau;346
02185;Chézy-en-Orxois;385
02186;Chézy-sur-Marne;1336
02187;Chierry;1146
02188;Chigny;145
02189;Chivres-en-Laonnois;345
02190;Chivres-Val;523
02191;Chivy-lès-Étouvelles;511
02192;Chouy;370
02193;Cierges;65
02194;Cilly;179
02195;Ciry-Salsogne;900
02196;Clacy-et-Thierret;306
02197;Clairfontaine;530
02198;Clamecy;228
02199;Clastres;597
02200;Clermont-les-Fermes;104
02201;Cœuvres-et-Valsery;449
02203;Coincy;1268
02204;Coingt;64
02205;Colligis-Crandelain;219
02206;Colonfay;75
02207;Commenchon;217
02208;Concevreux;262
02209;Condé-en-Brie;691
02210;Condé-sur-Aisne;361
02211;Condé-sur-Suippe;310
02212;Condren;702
02213;Connigis;342
02214;Contescourt;61
02215;Corbeny;842
02216;Corcy;290
02217;Coucy-le-Château-Auffrique;992
02218;Coucy-lès-Eppes;627
02219;Coucy-la-Ville;196
02220;Coulonges-Cohan;442
02221;Coupru;154
02222;Courbes;34
02223;Courboin;304
02224;Courcelles-sur-Vesle;340
02225;Courchamps;83
02226;Courmelles;1877
02227;Courmont;120
02228;Courtemont-Varennes;346
02229;Courtrizy-et-Fussigny;74
02230;Couvrelles;186
02231;Couvron-et-Aumencourt;949
02232;Coyolles;365
02233;Cramaille;145
02234;Craonne;84
02235;Craonnelle;114
02236;Crécy-au-Mont;329
02237;Crécy-sur-Serre;1499
02238;Crépy;1798
02239;Crézancy;1250
02240;Croix-Fonsomme;198
02241;La Croix-sur-Ourcq;91
02242;Crouttes-sur-Marne;640
02243;Crouy;2958
02244;Crupilly;63
02245;Cuffies;1797
02246;Cugny;608
02248;Cuirieux;156
02249;Cuiry-Housse;101
02250;Cuiry-lès-Chaudardes;72
02251;Cuiry-lès-Iviers;27
02252;Cuissy-et-Geny;71
02253;Cuisy-en-Almont;357
02254;Cutry;128
02255;Cys-la-Commune;155
02256;Dagny-Lambercy;130
02257;Dallon;437
02258;Dammard;372
02259;Dampleux;390
02260;Danizy;654
02261;Dercy;389
02262;Deuillet;208
02263;Dhuizel;114
02264;Dizy-le-Gros;724
02265;Dohis;93
02266;Dolignon;44
02267;Dommiers;297
02268;Domptin;635
02269;Dorengt;154
02270;Douchy;164
02271;Dravegny;129
02272;Droizy;77
02273;Dury;199
02274;Ébouleau;192
02275;Effry;316
02276;Englancourt;115
02277;Épagny;343
02278;Éparcy;30
02279;Épaux-Bézu;552
02280;Épieds;408
02281;L'Épine-aux-Bois;252
02282;Eppes;432
02283;Erlon;285
02284;Erloy;104
02286;Esquéhéries;861
02287;Essigny-le-Grand;1045
02288;Essigny-le-Petit;349
02289;Essises;413
02290;Essômes-sur-Marne;2730
02291;Estrées;410
02292;Étampes-sur-Marne;1331
02293;Étaves-et-Bocquiaux;551
02294;Étouvelles;206
02295;Étréaupont;850
02296;Étreillers;1187
02297;Étrépilly;123
02298;Étreux;1454
