Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2020
08490;Vouziers;4169
08491;Vrigne aux Bois;3556
08492;Vrigne-Meuse;329
08494;Wadelincourt;455
08496;Wagnon;124
08497;Warcq;1227
08498;Warnécourt;381
08499;Wasigny;316
08500;Wignicourt;56
08501;Williers;41
08502;Yoncq;91
08503;Yvernaumont;121
09001;Aigues-Juntes;57
09002;Aigues-Vives;634
09003;L'Aiguillon;381
09004;Albiès;120
09005;Aleu;128
09006;Alliat;56
09007;Allières;73
09008;Alos;120
09009;Alzen;267
09011;Antras;74
09012;Appy;28
09013;Arabaux;81
09014;Argein;192
09015;Arignac;702
09016;Arnave;217
09017;Arrien-en-Bethmale;112
09018;Arrout;90
09019;Artigat;560
09020;Artigues;35
09021;Artix;118
09022;Arvigna;222
09023;Ascou;119
09024;Aston;203
09025;Aucazein;53
09026;Audressein;151
09027;Augirein;79
09029;Aulus-les-Bains;159
09030;Auzat;501
09031;Axiat;43
09032;Ax-les-Thermes;1285
09033;Bagert;36
09034;Balacet;38
09035;Balaguères;198
09037;Barjac;42
09038;La Bastide-de-Besplas;381
09039;La Bastide-de-Bousignac;339
09040;La Bastide-de-Lordat;289
09041;La Bastide-du-Salat;205
09042;La Bastide-de-Sérou;992
09043;La Bastide-sur-l'Hers;672
09044;Baulou;167
09045;Bédeilhac-et-Aynat;197
09046;Bédeille;66
09047;Bélesta;1072
09048;Belloc;82
09049;Bénac;177
09050;Benagues;529
09051;Bénaix;151
09052;Besset;166
09053;Bestiac;19
09054;Betchat;354
09055;Bethmale;92
09056;Bézac;413
09057;Biert;315
09058;Bompas;193
09059;Bonac-Irazein;122
09060;Bonnac;761
09061;Les Bordes-sur-Arize;499
09062;Bordes-Uchentein;212
09063;Le Bosc;115
09064;Bouan;40
09065;Boussenac;223
09066;Brassac;622
09067;Brie;211
09068;Burret;44
09069;Buzan;25
09070;Les Cabannes;332
09071;Cadarcet;220
09072;Calzan;37
09073;Camarade;200
09074;Camon;149
09075;Campagne-sur-Arize;283
09076;Canté;202
09077;Capoulet-et-Junac;190
09078;Carcanières;73
09079;Carla-Bayle;797
09080;Carla-de-Roquefort;172
09081;Le Carlaret;275
09082;Castelnau-Durban;453
09083;Castéras;21
09084;Castex;97
09085;Castillon-en-Couserans;412
09086;Caumont;334
09087;Caussou;45
09088;Caychax;15
09089;Cazals-des-Baylès;56
09090;Cazaux;38
09091;Cazavet;200
09092;Cazenave-Serres-et-Allens;61
09093;Celles;151
09094;Cérizols;138
09095;Cescau;154
09096;Château-Verdun;41
09097;Clermont;116
09098;Contrazy;67
09099;Cos;379
09100;Couflens;95
09101;Coussa;287
09102;Coutens;174
09103;Crampagna;895
09104;Dalou;775
09105;Daumazan-sur-Arize;741
09106;Dreuilhe;359
09107;Dun;625
09108;Durban-sur-Arize;174
09109;Durfort;184
09110;Encourtiech;93
09111;Engomer;307
09113;Ercé;569
09114;Erp;132
09115;Esclagne;126
09116;Escosse;370
09117;Esplas;106
09118;Esplas-de-Sérou;179
09119;Eycheil;540
09120;Fabas;348
09121;Ferrières-sur-Ariège;749
09122;Foix;9515
09123;Fornex;114
09124;Le Fossat;1041
09125;Fougax-et-Barrineuf;429
09126;Freychenet;82
09127;Gabre;125
09128;Gajan;316
09129;Galey;114
09130;Ganac;730
09131;Garanou;147
09132;Gaudiès;245
09133;Génat;23
09134;Gestiès;33
09136;Gourbit;72
09137;Gudas;201
09138;L'Herm;194
09139;L'Hospitalet-près-l'Andorre;103
09140;Ignaux;122
09141;Illartein;73
09142;Ilhat;125
09143;Illier-et-Laramade;37
09145;Les Issards;247
09146;Justiniac;58
09147;Labatut;177
09148;Lacave;121
09149;Lacourt;192
09150;Lagarde;200
09151;Lanoux;55
09152;Lapège;20
09153;Lapenne;119
09154;Larbont;61
09155;Larcat;48
09156;Larnat;20
09157;Laroque-d'Olmes;2391
09158;Lasserre;254
09159;Lassur;91
09160;Lavelanet;6052
09161;Léran;618
09162;Lercoul;15
09163;Lescousse;81
09164;Lescure;489
09165;Lesparrou;233
09166;Leychert;105
09167;Lézat-sur-Lèze;2360
09168;Lieurac;183
09169;Limbrassac;121
09170;Lissac;250
09171;Lordat;70
09172;Loubaut;24
09173;Loubens;283
09174;Loubières;358
09175;Ludiès;93
09176;Luzenac;513
09177;Madière;246
09178;Malegoude;43
09179;Malléon;79
09180;Manses;119
09181;Le Mas-d'Azil;1181
09182;Massat;734
09183;Mauvezin-de-Prat;102
09184;Mauvezin-de-Sainte-Croix;49
09185;Mazères;3872
09186;Méras;101
09187;Mercenac;351
09188;Mercus-Garrabet;1203
09189;Mérens-les-Vals;168
09190;Mérigon;112
09192;Miglos;112
09193;Mijanès;60
09194;Mirepoix;3114
09195;Monesple;29
09196;Montagagne;79
09197;Montaillou;17
09198;Montardit;216
09199;Montaut;695
09200;Montbel;97
09201;Montégut-en-Couserans;78
09202;Montégut-Plantaurel;335
09203;Montels;154
09204;Montesquieu-Avantès;253
09205;Montfa;85
09206;Montferrier;553
09207;Montgailhard;1476
09208;Montgauch;120
09209;Montjoie-en-Couserans;1010
09210;Montoulieu;411
09211;Montségur;117
09212;Montseron;107
09213;Moulin-Neuf;240
09214;Moulis;768
09215;Nalzen;119
09216;Nescus;63
09217;Niaux;154
09218;Orgeix;92
09219;Orgibet;185
09220;Orlu;165
09221;Ornolac-Ussat-les-Bains;248
09222;Orus;27
09223;Oust;562
09224;Pailhès;486
09225;Pamiers;15938
09226;Pech;37
09227;Péreille;194
09228;Perles-et-Castelet;226
09229;Le Peyrat;476
09230;Le Pla;62
09231;Le Port;165
09232;Prades;31
09233;Pradettes;45
09234;Pradières;121
09235;Prat-Bonrepaux;861
09236;Prayols;368
09237;Le Puch;30
09238;Les Pujols;840
09239;Quérigut;138
09240;Quié;295
09241;Rabat-les-Trois-Seigneurs;368
09242;Raissac;54
09243;Régat;85
09244;Rieucros;720
09245;Rieux-de-Pelleport;1270
09246;Rimont;532
09247;Rivèrenert;160
09249;Roquefixade;146
09250;Roquefort-les-Cascades;90
09251;Roumengoux;165
09252;Rouze;90
09253;Sabarat;391
09254;Saint-Amadou;249
09255;Saint-Amans;41
09256;Saint-Bauzeil;59
09257;Sainte-Croix-Volvestre;631
09258;Saint-Félix-de-Rieutord;466
09259;Saint-Félix-de-Tournegat;153
09260;Sainte-Foi;30
09261;Saint-Girons;6415
09262;Saint-Jean-d'Aigues-Vives;378
09263;Saint-Jean-du-Castillonnais;23
09264;Saint-Jean-de-Verges;1285
09265;Saint-Jean-du-Falga;2855
09266;Saint-Julien-de-Gras-Capou;72
09267;Saint-Lary;125
09268;Saint-Lizier;1367
09269;Saint-Martin-de-Caralp;365
09270;Saint-Martin-d'Oydes;230
09271;Saint-Michel;85
09272;Saint-Paul-de-Jarrat;1337
09273;Saint-Pierre-de-Rivière;668
09274;Saint-Quentin-la-Tour;338
09275;Saint-Quirc;370
09276;Saint-Victor-Rouzaud;221
09277;Saint-Ybars;690
09279;Salsein;48
09280;Saurat;659
09281;Sautel;123
09282;Saverdun;4815
09283;Savignac-les-Ormeaux;398
09284;Ségura;188
09285;Seix;704
09287;Senconac;11
09289;Lorp-Sentaraille;1461
09290;Sentein;158
09291;Sentenac-d'Oust;105
09292;Sentenac-de-Sérou;58
09293;Serres-sur-Arget;678
09294;Sieuras;101
09295;Siguer;96
09296;Aulos-Sinsat;150
09297;Sor;27
09298;Sorgeat;83
09299;Soueix-Rogalle;430
09300;Soula;176
09301;Soulan;372
09303;Surba;319
09304;Suzan;17
09305;Tabre;352
09306;Tarascon-sur-Ariège;3013
09307;Taurignan-Castet;154
09308;Taurignan-Vieux;207
09309;Teilhet;156
09310;Thouars-sur-Arize;44
09311;Tignac;21
09312;La Tour-du-Crieu;3232
09313;Tourtouse;158
09314;Tourtrol;262
09315;Trémoulet;121
09316;Troye-d'Ariège;109
09318;Unac;126
09319;Unzent;114
09320;Urs;28
09321;Ussat;310
09322;Ustou;268
09323;Vals;90
09324;Varilhes;3495
09325;Vaychis;32
09326;Vèbre;121
09327;Ventenac;235
09328;Verdun;213
09329;Vernajoul;698
09330;Vernaux;29
09331;Le Vernet;727
09332;Verniolle;2295
09334;Val-de-Sos;554
09335;Villeneuve;41
09336;Villeneuve-d'Olmes;957
09338;Villeneuve-du-Latou;154
09339;Villeneuve-du-Paréage;778
09340;Vira;156
09341;Viviès;153
09342;Sainte-Suzanne;238
10002;Ailleville;232
10003;Aix-Villemaur-Pâlis;3537
10004;Allibaudières;207
10005;Amance;250
10006;Arcis-sur-Aube;2767
10007;Arconville;104
10008;Argançon;113
10009;Arrelles;86
10010;Arrembécourt;46
10011;Arrentières;208
10012;Arsonval;300
10013;Assenay;143
10014;Assencières;186
10015;Aubeterre;379
10017;Aulnay;123
10018;Auxon;1030
10019;Val-d'Auzon;380
10020;Avant-lès-Marcilly;503
10021;Avant-lès-Ramerupt;156
10022;Avirey-Lingey;200
10023;Avon-la-Pèze;193
10024;Avreuil;170
10025;Bagneux-la-Fosse;172
10026;Bailly-le-Franc;37
10027;Balignicourt;59
10028;Balnot-la-Grange;117
10029;Balnot-sur-Laignes;154
10030;Barberey-Saint-Sulpice;1568
10031;Barbuise;475
10032;Baroville;301
10033;Bar-sur-Aube;4774
10034;Bar-sur-Seine;2932
10035;Bayel;747
10037;Bercenay-en-Othe;432
10038;Bercenay-le-Hayer;197
10039;Bergères;114
10040;Bernon;165
10041;Bertignolles;51
10042;Bérulle;201
10043;Bessy;121
10044;Bétignicourt;34
10045;Beurey;180
10046;Blaincourt-sur-Aube;109
10047;Blignicourt;42
10048;Bligny;162
10049;Les Bordes-Aumont;525
10050;Bossancourt;194
10051;Bouilly;1078
10052;Boulages;220
10053;Bouranton;603
10054;Bourdenay;110
10055;Bourguignons;261
10056;Bouy-Luxembourg;247
10057;Bouy-sur-Orvin;53
10058;Bragelogne-Beauvoir;235
10059;Braux;112
10060;Bréviandes;2933
10061;Brévonnes;667
10062;Briel-sur-Barse;199
10063;Brienne-la-Vieille;402
10064;Brienne-le-Château;2754
10065;Brillecourt;84
10066;Bucey-en-Othe;437
10067;Buchères;1889
10068;Buxeuil;121
10069;Buxières-sur-Arce;115
10070;Celles-sur-Ource;482
10071;Chacenay;52
10072;La Chaise;34
10073;Chalette-sur-Voire;125
10074;Chamoy;504
10075;Champfleury;100
10076;Champignol-lez-Mondeville;257
10077;Champigny-sur-Aube;105
10078;Champ-sur-Barse;27
10079;Channes;133
10080;Chaource;1017
10081;La Chapelle-Saint-Luc;12324
10082;Chapelle-Vallon;240
10083;Chappes;344
10084;Charmont-sous-Barbuise;1011
10085;Charmoy;65
10086;Charny-le-Bachot;257
10087;Chaserey;51
10089;Châtres;701
10090;Chauchigny;228
10091;Chaudrey;139
10092;Chauffour-lès-Bailly;129
10093;Chaumesnil;103
10094;Chavanges;593
10095;Le Chêne;287
10096;Chennegy;444
10097;Chervey;157
10098;Chesley;312
10099;Chessy-les-Prés;527
10100;Clérey;1134
10101;Coclois;172
10102;Colombé-la-Fosse;181
10103;Colombé-le-Sec;154
10104;Cormost;306
10105;Courcelles-sur-Voire;26
10106;Courceroy;141
10107;Coursan-en-Othe;102
10108;Courtaoult;81
10109;Courtenot;226
10110;Courteranges;568
10111;Courteron;103
10112;Coussegrey;178
10113;Couvignon;198
10114;Crancey;706
10115;Creney-près-Troyes;1997
10116;Crésantignes;317
10117;Crespy-le-Neuf;147
10118;Les Croûtes;92
10119;Cunfin;174
10120;Cussangy;200
10121;Dampierre;328
10122;Davrey;223
10123;Dienville;847
10124;Dierrey-Saint-Julien;266
10125;Dierrey-Saint-Pierre;312
10126;Dolancourt;129
10127;Dommartin-le-Coq;57
10128;Donnement;74
10129;Dosches;307
10130;Dosnon;98
10131;Droupt-Saint-Basle;354
10132;Droupt-Sainte-Marie;241
10133;Eaux-Puiseaux;257
10134;Échemines;86
10135;Éclance;96
10136;Éguilly-sous-Bois;117
10137;Engente;33
10138;Épagne;142
10139;Épothémont;160
10140;Ervy-le-Châtel;1125
10141;Essoyes;718
10142;Estissac;1849
10143;Étourvy;161
10144;Étrelles-sur-Aube;155
10145;Faux-Villecerf;207
10146;Fay-lès-Marcilly;92
10147;Fays-la-Chapelle;129
10148;Ferreux-Quincey;409
10149;Feuges;333
10150;Fontaine;250
10151;Fontaine-les-Grès;884
10153;Fontaine-Mâcon;611
10154;Fontenay-de-Bossery;71
10155;Fontette;182
10156;Fontvannes;707
10157;La Fosse-Corduan;214
10158;Fouchères;526
10159;Fralignes;86
10160;Fravaux;39
10161;Fresnay;49
10162;Fresnoy-le-Château;295
10163;Fuligny;41
10164;Gélannes;734
10165;Géraudot;336
10166;Les Grandes-Chapelles;397
10167;Grandville;90
10168;Les Granges;81
10169;Gumery;219
10170;Gyé-sur-Seine;476
10171;Hampigny;227
10172;Herbisse;154
10173;Isle-Aumont;460
10174;Isle-Aubigny;168
10175;Jasseines;171
10176;Jaucourt;156
10177;Javernant;150
10178;Jessains;257
10179;Jeugny;471
10180;Joncreuil;96
10181;Jully-sur-Sarce;214
10182;Juvancourt;119
10183;Juvanzé;35
10184;Juzanvigny;127
10185;Lagesse;209
10186;Laines-aux-Bois;529
10187;Landreville;391
10188;Lantages;210
10189;Lassicourt;58
10190;Laubressel;576
10191;Lavau;896
10192;Lentilles;129
10193;Lesmont;302
10194;Lévigny;94
10195;Lhuître;287
10196;Lignières;219
10197;Lignol-le-Château;170
10198;Lirey;104
10199;Loches-sur-Ource;347
10200;La Loge-aux-Chèvres;95
10201;La Loge-Pomblin;69
10202;Les Loges-Margueron;216
10203;Longchamp-sur-Aujon;374
10204;Longeville-sur-Mogne;141
10205;Longpré-le-Sec;85
10206;Longsols;128
10207;Longueville-sur-Aube;130
10208;La Louptière-Thénard;290
10209;Lusigny-sur-Barse;2225
10210;Luyères;457
10211;Macey;997
10212;Machy;113
10213;Magnant;159
10214;Magnicourt;90
10215;Magny-Fouchard;261
10216;Mailly-le-Camp;2038
10217;Maison-des-Champs;33
10218;Maisons-lès-Chaource;168
10219;Maisons-lès-Soulaines;69
10220;Maizières-la-Grande-Paroisse;1505
10221;Maizières-lès-Brienne;160
10222;Maraye-en-Othe;434
10223;Marcilly-le-Hayer;726
10224;Marigny-le-Châtel;1761
10225;Marnay-sur-Seine;235
10226;Marolles-lès-Bailly;113
10227;Marolles-sous-Lignières;340
10228;Mathaux;204
10229;Maupas;102
10230;Mergey;674
10231;Le Mériot;624
10232;Merrey-sur-Arce;325
10233;Méry-sur-Seine;1488
10234;Mesgrigny;271
10235;Mesnil-la-Comtesse;50
10236;Mesnil-Lettre;56
10237;Mesnil-Saint-Loup;590
10238;Mesnil-Saint-Père;439
10239;Mesnil-Sellières;589
10240;Messon;467
10241;Metz-Robert;61
10242;Meurville;158
10243;Molins-sur-Aube;104
10245;Montaulin;812
10246;Montceaux-lès-Vaudes;256
10247;Montfey;120
10248;Montgueux;393
10249;Montiéramey;403
10250;Montier-en-l'Isle;222
10251;Montigny-les-Monts;254
10252;Montmartin-le-Haut;61
10253;Montmorency-Beaufort;143
10254;Montpothier;329
10255;Montreuil-sur-Barse;287
10256;Montsuzain;405
10257;Morembert;29
10258;Morvilliers;277
10259;La Motte-Tilly;361
10260;Moussey;652
10261;Mussy-sur-Seine;1021
10262;Neuville-sur-Seine;395
10263;Neuville-sur-Vanne;446
10264;Noé-les-Mallets;113
10265;Les Noës-près-Troyes;3279
10266;Nogent-en-Othe;46
10267;Nogent-sur-Aube;297
10268;Nogent-sur-Seine;5946
10269;Nozay;153
10270;Onjon;265
10271;Origny-le-Sec;598
10272;Ormes;179
10273;Ortillon;23
10274;Orvilliers-Saint-Julien;310
10275;Ossey-les-Trois-Maisons;596
10276;Paisy-Cosdon;335
10278;Pargues;136
10279;Pars-lès-Chavanges;47
10280;Pars-lès-Romilly;816
10281;Le Pavillon-Sainte-Julie;287
10282;Payns;1375
10283;Pel-et-Der;129
10284;Périgny-la-Rose;150
10285;Perthes-lès-Brienne;69
10286;Petit-Mesnil;206
10287;Piney;1477
10288;Plaines-Saint-Lange;265
10289;Plancy-l'Abbaye;966
10290;Planty;232
10291;Plessis-Barbuise;180
10293;Poivres;159
10294;Poligny;61
10295;Polisot;324
10296;Polisy;182
10297;Pont-Sainte-Marie;5146
10298;Pont-sur-Seine;1160
10299;Pouan-les-Vallées;513
10300;Pougy;289
10301;Pouy-sur-Vannes;176
10302;Praslin;85
10303;Précy-Notre-Dame;77
10304;Précy-Saint-Martin;183
10305;Prémierfait;87
10306;Proverville;236
10307;Prugny;365
10308;Prunay-Belleville;209
10309;Prusy;96
10310;Puits-et-Nuisement;211
10312;Racines;169
10313;Radonvilliers;356
10314;Ramerupt;410
10315;Rances;45
10316;Rhèges;216
10317;Les Riceys;1207
10318;Rigny-la-Nonneuse;156
10319;Rigny-le-Ferron;322
10320;Rilly-Sainte-Syre;230
10321;La Rivière-de-Corps;3621
10323;Romilly-sur-Seine;14623
10324;Roncenay;159
10325;Rosières-près-Troyes;4633
10326;Rosnay-l'Hôpital;169
10327;La Rothière;116
10328;Rouilly-Sacey;389
10329;Rouilly-Saint-Loup;521
10330;Rouvres-les-Vignes;112
10331;Rumilly-lès-Vaudes;568
10332;Ruvigny;495
10333;Saint-André-les-Vergers;12701
10334;Saint-Aubin;590
10335;Saint-Benoist-sur-Vanne;237
10336;Saint-Benoît-sur-Seine;391
10337;Saint-Christophe-Dodinicourt;33
10338;Saint-Étienne-sous-Barbuise;177
10339;Saint-Flavy;294
10340;Saint-Germain;2305
10341;Saint-Hilaire-sous-Romilly;355
10342;Saint-Jean-de-Bonneval;404
10343;Saint-Julien-les-Villas;6738
10344;Saint-Léger-près-Troyes;912
10345;Saint-Léger-sous-Brienne;383
10346;Saint-Léger-sous-Margerie;51
10347;Saint-Loup-de-Buffigny;207
10348;Saint-Lupien;228
10349;Saint-Lyé;2889
10350;Saint-Mards-en-Othe;638
10351;Saint-Martin-de-Bossenay;365
10352;Sainte-Maure;1752
10353;Saint-Mesmin;891
10354;Saint-Nabord-sur-Aube;137
10355;Saint-Nicolas-la-Chapelle;69
10356;Saint-Oulph;311
10357;Saint-Parres-aux-Tertres;3179
10358;Saint-Parres-lès-Vaudes;1062
10359;Saint-Phal;510
10360;Saint-Pouange;972
10361;Saint-Remy-sous-Barbuise;246
10362;Sainte-Savine;10496
10363;Saint-Thibault;547
10364;Saint-Usage;72
10365;Salon;125
10366;Saulcy;63
10367;La Saulsotte;681
10368;Savières;1025
10369;Semoine;202
10370;Soligny-les-Étangs;250
10371;Sommeval;308
10372;Soulaines-Dhuys;419
10373;Souligny;378
10374;Spoy;153
10375;Thennelières;334
10376;Thieffrain;154
10377;Thil;111
10378;Thors;68
10379;Torcy-le-Grand;457
10380;Torcy-le-Petit;77
10381;Torvilliers;995
10382;Traînel;1036
10383;Trancault;184
10384;Trannes;204
10386;Trouans;217
10387;Troyes;62597
10388;Turgy;43
10389;Unienville;112
10390;Urville;120
10391;Vailly;298
10392;Vallant-Saint-Georges;402
10393;Vallentigny;180
10394;Vallières;166
10395;Vanlay;293
10396;Vauchassis;499
10397;Vauchonvilliers;167
10398;Vaucogne;74
10399;Vaudes;721
10400;Vaupoisson;116
10401;Vendeuvre-sur-Barse;2317
10402;La Vendue-Mignot;244
10403;Vernonvilliers;52
10404;Verpillières-sur-Ource;111
10405;Verricourt;58
10406;Verrières;1858
10408;Viâpres-le-Petit;134
10409;Villacerf;611
10410;Villadin;105
10411;La Ville-aux-Bois;28
10412;Villechétif;949
10414;Villeloup;125
10416;Villemereuil;243
10417;Villemoiron-en-Othe;207
10418;Villemorien;198
10419;Villemoyenne;739
10420;Villenauxe-la-Grande;2685
10421;La Villeneuve-au-Châtelot;147
10422;Villeneuve-au-Chemin;185
10423;La Villeneuve-au-Chêne;408
10424;Villeret;63
10425;Villery;270
10426;Ville-sous-la-Ferté;907
10427;Ville-sur-Arce;200
10428;Ville-sur-Terre;99
10429;Villette-sur-Aube;249
10430;Villiers-Herbisse;84
10431;Villiers-le-Bois;102
10432;Villiers-sous-Praslin;71
10433;Villy-en-Trodes;253
10434;Villy-le-Bois;57
10435;Villy-le-Maréchal;190
10436;Vinets;176
10437;Virey-sous-Bar;600
10438;Vitry-le-Croisé;222
10439;Viviers-sur-Artaut;123
10440;Voigny;144
10441;Vosnon;231
10442;Voué;699
10443;Vougrey;43
10444;Vulaines;226
10445;Yèvres-le-Petit;54
11001;Aigues-Vives;550
11002;Airoux;170
11003;Ajac;201
11004;Alaigne;337
11005;Alairac;1338
11006;Albas;78
11007;Albières;119
11008;Alet-les-Bains;388
11009;Alzonne;1592
11010;Antugnac;270
11011;Aragon;467
11012;Argeliers;2155
11013;Argens-Minervois;355
11014;Armissan;1495
11015;Arques;261
11016;Arquettes-en-Val;80
11017;Artigues;75
11018;Arzens;1211
11019;Aunat;62
11020;Auriac;35
11021;Axat;513
11022;Azille;1123
11023;Badens;745
11024;Bages;782
11025;Bagnoles;308
11026;Baraigne;172
11027;Barbaira;793
11028;Belcaire;376
11029;Belcastel-et-Buc;61
11030;Belflou;114
11031;Belfort-sur-Rebenty;21
11032;Bellegarde-du-Razès;247
11033;Belpech;1339
11034;Belvèze-du-Razès;853
11035;Belvianes-et-Cavirac;238
11036;Belvis;161
11037;Berriac;950
11038;Bessède-de-Sault;46
11039;La Bezole;47
11040;Bizanet;1754
11041;Bize-Minervois;1243
11042;Blomac;235
11043;Bouilhonnac;221
11044;Bouisse;104
11045;Bouriège;144
11046;Bourigeole;55
11047;Le Bousquet;48
11048;Boutenac;722
11049;Bram;3226
11051;Brézilhac;184
11052;Brousses-et-Villaret;340
11053;Brugairolles;287
11054;Les Brunels;269
11055;Bugarach;240
11056;Cabrespine;167
11057;Cahuzac;28
11058;Cailhau;251
11059;Cailhavel;144
11060;Cailla;50
11061;Cambieure;313
11062;Campagna-de-Sault;19
11063;Campagne-sur-Aude;606
11064;Camplong-d'Aude;373
11065;Camps-sur-l'Agly;51
11066;Camurac;104
11067;Canet;1832
11068;Capendu;1473
11069;Carcassonne;46673
11070;Carlipa;338
11071;Cascastel-des-Corbières;223
11072;La Cassaigne;163
11073;Cassaignes;59
11074;Les Cassés;307
11075;Castans;134
11076;Castelnaudary;12467
11077;Castelnau-d'Aude;500
11078;Castelreng;206
11079;Caudebronde;215
11080;Val de Lambronne;167
11081;Caunes-Minervois;1601
11082;Caunette-sur-Lauquet;10
11083;Caunettes-en-Val;56
11084;Caux-et-Sauzens;1005
11085;Cavanac;960
11086;Caves;897
11087;Cazalrenoux;93
11088;Cazilhac;1640
11089;Cenne-Monestiés;408
11090;Cépie;615
11091;Chalabre;1139
11092;Citou;91
11093;Le Clat;28
11094;Clermont-sur-Lauquet;27
11095;Comigne;312
11096;Comus;32
11098;Conilhac-Corbières;899
11099;Conques-sur-Orbiel;2585
11100;Corbières;29
11101;Coudons;52
11102;Couffoulens;571
11103;Couiza;1122
11104;Counozouls;52
11105;Cournanel;706
11106;Coursan;5785
11107;Courtauly;77
11108;La Courtète;46
11109;Coustaussa;52
11110;Coustouge;116
11111;Cruscades;921
11112;Cubières-sur-Cinoble;83
11113;Cucugnan;113
11114;Cumiès;41
11115;Cuxac-Cabardès;916
11116;Cuxac-d'Aude;4044
11117;Davejean;114
11118;Dernacueillette;46
11119;La Digne-d'Amont;293
11120;La Digne-d'Aval;527
11121;Donazac;111
11122;Douzens;771
11123;Duilhac-sous-Peyrepertuse;148
11124;Durban-Corbières;651
11125;Embres-et-Castelmaure;152
11126;Escales;477
11127;Escouloubre;71
11128;Escueillens-et-Saint-Just-de-Bélengard;146
11129;Espéraza;1712
11130;Espezel;229
11131;Val-du-Faby;582
11132;Fabrezan;1256
11133;Fajac-en-Val;45
11134;Fajac-la-Relenque;50
11135;La Fajolle;12
11136;Fanjeaux;859
11137;Félines-Termenès;129
11138;Fendeille;523
11139;Fenouillet-du-Razès;77
11140;Ferrals-les-Corbières;1256
11141;Ferran;124
11142;Festes-et-Saint-André;194
11143;Feuilla;110
11144;Fitou;1096
11145;Fleury;3713
11146;Floure;412
11147;Fontanès-de-Sault;5
11148;Fontcouverte;559
11149;Fonters-du-Razès;79
11150;Fontiers-Cabardès;449
11151;Fontiès-d'Aude;523
11152;Fontjoncouse;131
11153;La Force;250
11154;Fournes-Cabardès;51
11155;Fourtou;79
11156;Fraisse-Cabardès;105
11157;Fraissé-des-Corbières;212
11158;Gaja-et-Villedieu;297
11159;Gaja-la-Selve;137
11160;Galinagues;35
11161;Gardie;127
11162;Generville;57
11163;Gincla;46
11164;Ginestas;1515
11165;Ginoles;303
11166;Gourvieille;77
11167;Gramazie;125
11168;Granès;102
11169;Greffeil;90
11170;Gruissan;5131
11172;Homps;597
11173;Hounoux;129
11174;Les Ilhes;56
11175;Issel;479
11176;Jonquières;56
11177;Joucou;31
11178;Labastide-d'Anjou;1278
11179;Labastide-en-Val;90
11180;Labastide-Esparbairenque;61
11181;Labécède-Lauragais;406
11182;Lacombe;175
11183;Ladern-sur-Lauquet;268
11184;Lafage;93
11185;Lagrasse;544
11186;Lairière;54
11187;Lanet;60
11188;La Palme;1712
11189;Laprade;108
11190;La Redorte;1243
11191;Laroque-de-Fa;150
11192;Lasbordes;783
11193;Lasserre-de-Prouille;282
11194;Lastours;155
11195;Laurabuc;393
11196;Laurac;181
11197;Lauraguel;608
11198;Laure-Minervois;1013
11199;Lavalette;1517
11200;Lespinassière;134
11201;Leuc;851
11202;Leucate;4581
11203;Lézignan-Corbières;11112
11204;Lignairolles;43
11205;Limousis;131
11206;Limoux;10161
11207;Loupia;241
11208;La Louvière-Lauragais;81
11209;Luc-sur-Aude;244
11210;Luc-sur-Orbieu;1132
11211;Magrie;537
11212;Mailhac;577
11213;Maisons;47
11214;Malras;426
11215;Malves-en-Minervois;863
11216;Malviès;365
11217;Marcorignan;1309
11218;Marquein;82
11219;Marsa;19
11220;Marseillette;702
11221;Les Martys;302
11222;Mas-Cabardès;176
11223;Mas-des-Cours;25
11224;Massac;27
11225;Mas-Saintes-Puelles;929
11226;Mayreville;84
11227;Mayronnes;40
11228;Mazerolles-du-Razès;148
11229;Mazuby;26
11230;Mérial;32
11231;Mézerville;98
11232;Miraval-Cabardès;46
11233;Mirepeisset;752
11234;Mireval-Lauragais;185
11235;Missègre;58
11236;Molandier;245
11238;Molleville;141
11239;Montauriol;81
11240;Montazels;556
11241;Montbrun-des-Corbières;339
11242;Montclar;175
11243;Montferrand;625
11244;Montfort-sur-Boulzane;90
11245;Montgaillard;38
11246;Montgradail;45
11247;Monthaut;38
11248;Montirat;69
11249;Montjardin;83
11250;Montjoi;35
11251;Val-de-Dagne;737
11252;Montmaur;320
11253;Montolieu;833
11254;Montréal;1980
11255;Montredon-des-Corbières;1482
11256;Montséret;621
11257;Monze;234
11258;Moussan;2041
11259;Moussoulens;1003
11260;Mouthoumet;109
11261;Moux;707
11262;Narbonne;56123
11263;Nébias;261
11264;Névian;1277
11265;Niort-de-Sault;41
11266;Port-la-Nouvelle;5905
11267;Ornaisons;1113
11268;Orsans;117
11269;Ouveillan;2554
11270;Padern;140
11271;Palairac;32
11272;Palaja;2496
11273;Paraza;698
11274;Pauligne;374
11275;Payra-sur-l'Hers;205
11276;Paziols;525
11277;Pécharic-et-le-Py;29
11278;Pech-Luna;75
11279;Pennautier;2714
11280;Pépieux;1087
11281;Pexiora;1241
11282;Peyrefitte-du-Razès;53
11283;Peyrefitte-sur-l'Hers;78
11284;Peyrens;466
11285;Peyriac-de-Mer;1143
11286;Peyriac-Minervois;1177
11287;Peyrolles;87
11288;Pezens;1584
11289;Pieusse;968
11290;Plaigne;117
11291;Plavilla;120
11292;La Pomarède;177
11293;Pomas;920
