,LATITUDE,LONGITUDE,TIME_EVENT,COUNTRY,YEAR,NEAREST_CITY,Population municipale 2020
176,47.087,6.06,2022-08-17 15:32:00,FR,2022,Ornans,4422
177,47.017,6.117,2022-08-17 15:06:00,FR,2022,Levier,2269
178,47.0,6.067,2022-08-17 15:03:00,FR,2022,Levier,2269
179,46.95,6.133,2022-08-17 14:55:00,FR,2022,Levier,2269
180,46.283,2.833,2022-08-17 14:00:00,FR,2022,Colombier,323
181,45.667,4.85,2022-08-17 13:30:00,FR,2022,Feyzin,9926
182,43.506,-1.467,2022-08-17 13:30:00,FR,2022,Bayonne,52006
183,45.633,4.782,2022-08-17 13:30:00,FR,2022,Millery,4313
184,45.633,4.867,2022-08-17 13:27:00,FR,2022,Saint-Symphorien-d'Ozon,5850
185,45.617,4.667,2022-08-17 13:16:00,FR,2022,Beauvallon,4074
186,47.283,6.867,2022-08-17 13:10:00,FR,2022,Mache,4259
187,47.302,6.839,2022-08-17 13:09:00,FR,2022,Mache,4259
188,45.555,4.533,2022-08-17 13:05:00,FR,2022,Genilac,3866
189,47.217,6.817,2022-08-17 13:04:00,FR,2022,Charquemont,2791
190,47.25,6.8,2022-08-17 13:03:00,FR,2022,Mache,4259
191,47.237,6.812,2022-08-17 13:03:00,FR,2022,Mache,4259
192,47.235,6.792,2022-08-17 13:03:00,FR,2022,Mache,4259
193,45.55,4.483,2022-08-17 13:00:00,FR,2022,Saint-Christo-en-Jarez,1909
194,47.264,6.783,2022-08-17 13:00:00,FR,2022,Mache,4259
195,47.254,6.768,2022-08-17 12:58:00,FR,2022,Mache,4259
196,47.2,6.75,2022-08-17 12:56:00,FR,2022,Le Russey,2446
197,45.522,4.373,2022-08-17 12:55:00,FR,2022,L'trat,2702
198,47.194,6.749,2022-08-17 12:55:00,FR,2022,Le Russey,2446
199,47.22,6.767,2022-08-17 12:55:00,FR,2022,Mache,4259
200,45.483,4.45,2022-08-17 12:50:00,FR,2022,Sorbiers,8009
201,45.474,4.382,2022-08-17 12:50:00,FR,2022,Saint-Priest-en-Jarez,6088
202,47.2,6.7,2022-08-17 12:46:00,FR,2022,Le Russey,2446
203,45.483,4.383,2022-08-17 12:45:00,FR,2022,Saint-Priest-en-Jarez,6088
204,47.279,6.766,2022-08-17 12:45:00,FR,2022,Mache,4259
205,47.167,6.733,2022-08-17 12:44:00,FR,2022,Le Russey,2446
206,45.467,4.35,2022-08-17 12:40:00,FR,2022,Villars,7861
207,47.0,6.55,2022-08-17 12:34:00,FR,2022,Morteau,6851
208,45.4,4.183,2022-08-17 12:25:00,FR,2022,Aurec-sur-Loire,6166
209,45.433,4.167,2022-08-17 12:20:00,FR,2022,Saint-Marcellin-en-Forez,5027
210,46.9,6.367,2022-08-17 12:09:00,FR,2022,Pontarlier,17738
211,46.883,6.383,2022-08-17 12:09:00,FR,2022,Pontarlier,17738
212,45.367,4.117,2022-08-17 12:03:00,FR,2022,Aurec-sur-Loire,6166
213,43.683,4.133,2022-08-17 12:00:00,FR,2022,Lunel,26356
214,45.34,3.955,2022-08-17 11:45:00,FR,2022,Beauzac,2986
215,43.833,4.567,2022-08-17 11:45:00,FR,2022,Jonquires-Saint-Vincent,3811
216,43.75,4.511,2022-08-17 11:40:00,FR,2022,Bellegarde,7550
217,43.567,4.083,2022-08-17 11:35:00,FR,2022,La Grande-Motte,8638
218,45.3,3.883,2022-08-17 11:34:00,FR,2022,Vorey,1450
219,45.267,3.833,2022-08-17 11:30:00,FR,2022,Vorey,1450
220,44.572,3.332,2022-08-17 11:30:00,FR,2022,Marvejols,4713
221,43.117,6.117,2022-08-17 06:30:00,FR,2022,Hyres,54615
222,43.038,6.132,2022-08-17 05:12:00,FR,2022,Carqueiranne,9462
223,43.513,4.982,2022-08-17 01:00:00,FR,2022,Istres,44438
224,43.567,4.191,2022-08-16 22:29:00,FR,2022,Aigues-Mortes,8664
225,43.967,0.367,2022-08-16 21:30:00,FR,2022,Condom,6478
226,43.367,3.043,2022-08-16 18:00:00,FR,2022,Puisserguier,3026
227,43.354,2.746,2022-08-16 16:50:00,FR,2022,Ppieux,1087
228,46.683,-0.1,2022-08-16 16:30:00,FR,2022,Boivre-la-Valle,3079
229,43.403,2.538,2022-08-16 16:22:00,FR,2022,Caunes-Minervois,1601
230,43.4,2.483,2022-08-16 16:20:00,FR,2022,Caunes-Minervois,1601
231,43.412,6.081,2022-08-14 16:47:00,FR,2022,Brignoles,17652
232,43.471,5.954,2022-08-14 16:37:00,FR,2022,Tourves,5101
233,44.121,5.03,2022-08-14 14:45:00,FR,2022,Sarrians,6030
234,44.053,4.779,2022-08-14 14:23:00,FR,2022,Roquemaure,5531
235,44.162,4.084,2022-08-14 13:05:00,FR,2022,Saint-Martin-de-Valgalgues,4592
236,44.157,4.054,2022-08-14 13:03:00,FR,2022,Cendras,1652
237,44.283,2.733,2022-08-14 11:35:00,FR,2022,Pont-de-Salars,1632
238,44.345,2.571,2022-08-14 11:15:00,FR,2022,Rodez,24397
239,44.167,4.617,2022-08-14 07:30:00,FR,2022,Bagnols-sur-Cze,18072
240,45.033,3.083,2022-08-05 15:30:00,FR,2022,Saint-Flour,6451
241,46.069,6.318,2022-08-05 15:10:00,FR,2022,La Roche-sur-Foron,11155
242,44.85,3.667,2022-08-05 13:30:00,FR,2022,Vals-prs-le-Puy,3421
243,45.113,3.273,2022-08-05 13:25:00,FR,2022,Massiac,1801
244,44.788,3.771,2022-08-05 12:20:00,FR,2022,Lavillatte,43
